date,portfolio_value,cash,open_positions
2025-11-04 12:01:37.479147,10345.195681544685,1058.5707273210514,11
2025-11-05 12:01:37.479147,10570.771431774125,1197.146437496171,11
2025-11-06 12:01:37.479147,10519.448485881227,1931.978421718019,10
2025-11-07 12:01:37.479147,10568.927642257995,936.9476636965937,11
2025-11-10 12:01:37.479147,10850.45471998287,2097.4847912414157,10
2025-11-11 12:01:37.479147,10987.017236061729,3241.267113991416,9
2025-11-12 12:01:37.479147,11015.08941997118,2261.7245537144654,10
2025-11-13 12:01:37.479147,10964.477101578967,1392.436545624988,11
2025-11-14 12:01:37.479147,10881.016484513537,1392.436545624988,11
2025-11-17 12:01:37.479147,10752.22301031615,1392.436545624988,11
2025-11-18 12:01:37.479147,10568.086358323351,1392.436545624988,11
2025-11-19 12:01:37.479147,10562.803256287829,1392.436545624988,11
2025-11-20 12:01:37.479147,10389.801063897052,1076.2780803460269,11
2025-11-21 12:01:37.479147,10333.288663069892,962.7395068809275,11
2025-11-24 12:01:37.479147,10563.31154553144,962.7395068809275,11
2025-11-25 12:01:37.479147,10629.192183653999,962.7395068809275,11
2025-11-26 12:01:37.479147,10593.205131272442,716.8367469111748,11
2025-11-27 12:01:37.479147,5014.836771706707,716.8367469111748,11
2025-11-28 12:01:37.479147,10650.172722558147,716.8367469111748,11
2025-12-01 12:01:37.479147,10642.967574338085,716.8367469111748,11
2025-12-02 12:01:37.479147,10817.890729172188,3017.411936504799,9
2025-12-03 12:01:37.479147,10825.392449200566,1199.9331062440233,11
2025-12-04 12:01:37.479147,10905.957550725781,962.6978995416993,11
2025-12-05 12:01:37.479147,10967.586670338998,1057.3242802022787,11
2025-12-08 12:01:37.479147,11002.697128713022,1057.3242802022787,11
2025-12-09 12:01:37.479147,11030.26275676478,1057.3242802022787,11
2025-12-10 12:01:37.479147,11095.463150441537,1057.3242802022787,11
2025-12-11 12:01:37.479147,11065.82580115847,2118.7303421740953,10
2025-12-12 12:01:37.479147,10855.792445640556,2155.907237510674,10
2025-12-15 12:01:37.479147,10757.777334060544,1160.1753366850553,11
2025-12-16 12:01:37.479147,10776.901708450192,1160.1753366850553,11
2025-12-17 12:01:37.479147,10643.089994277829,1160.1753366850553,11
2025-12-18 12:01:37.479147,10761.675321426266,1160.1753366850553,11
2025-12-19 12:01:37.479147,10835.795400466794,1160.1753366850553,11
2025-12-22 12:01:37.479147,10891.375394668454,1160.1753366850553,11
2025-12-23 12:01:37.479147,10929.015401687497,1160.1753366850553,11
2025-12-24 12:01:37.479147,8537.125348892087,1160.1753366850553,11
2025-12-25 12:01:37.479147,1160.1753366850553,1160.1753366850553,11
2025-12-26 12:01:37.479147,8589.71538337695,1160.1753366850553,11
2025-12-29 12:01:37.479147,10895.065358962887,1160.1753366850553,11
2025-12-30 12:01:37.479147,10880.015371169919,1160.1753366850553,11
2025-12-31 12:01:37.479147,8450.635396804684,1160.1753366850553,11
2026-01-01 12:01:37.479147,1160.1753366850553,1160.1753366850553,11
2026-01-02 12:01:37.479147,10852.025449600094,1160.1753366850553,11
2026-01-05 12:01:37.479147,10797.295400466794,1160.1753366850553,11
2026-01-06 12:01:37.479147,10945.095319595212,1160.1753366850553,11
2026-01-07 12:01:37.479147,10950.52520545947,1160.1753366850553,11
2026-01-08 12:01:37.479147,10814.095235671872,1160.1753366850553,11
2026-01-09 12:01:37.479147,10857.565275039547,1160.1753366850553,11
2026-01-12 12:01:37.479147,10961.66541084277,1160.1753366850553,11
2026-01-13 12:01:37.479147,10903.489352991914,1021.959346583222,11
2026-01-14 12:01:37.479147,10789.789325526093,1021.959346583222,11
2026-01-15 12:01:37.479147,10830.2293279675,1021.959346583222,11
2026-01-16 12:01:37.479147,10816.519412806367,1021.959346583222,11
2026-01-19 12:01:37.479147,4233.039310267304,1021.959346583222,11
2026-01-20 12:01:37.479147,10534.349422266816,1021.959346583222,11
2026-01-21 12:01:37.479147,10647.779308131074,1021.959346583222,11
2026-01-22 12:01:37.479147,10752.089290430878,1021.959346583222,11
2026-01-23 12:01:37.479147,10760.0094654003,1661.0994922557684,10
2026-01-26 12:01:37.479147,10809.456609232697,2761.6866736247866,9
2026-01-27 12:01:37.479147,10804.698017442146,1040.5078929304277,11
2026-01-28 12:01:37.479147,10731.097838346574,2671.977889005753,9
2026-01-29 12:01:37.479147,10655.934539803193,947.7044601523135,11
2026-01-30 12:01:37.479147,10605.024444588349,947.7044601523135,11
