trial,value,state,STOP_LOSS_PCT,total_trades,win_rate,sharpe_ratio,max_drawdown_pct,final_capital
203,-1000.0,TrialState.COMPLETE,0.030890645714146146,,,,,
204,-1000.0,TrialState.COMPLETE,0.04216537289143332,,,,,
205,-1000.0,TrialState.COMPLETE,0.034967058223913966,,,,,
206,-1000.0,TrialState.COMPLETE,0.05515071124190243,,,,,
207,-1000.0,TrialState.COMPLETE,0.03860086143468757,,,,,
208,-1000.0,TrialState.COMPLETE,0.028267997674400407,,,,,
209,-1000.0,TrialState.COMPLETE,0.04773367284004065,,,,,
210,-1000.0,TrialState.COMPLETE,0.059249461358612296,,,,,
211,-1000.0,TrialState.COMPLETE,0.024115792158975684,,,,,
212,-1000.0,TrialState.COMPLETE,0.03303156007654867,,,,,
213,-1000.0,TrialState.COMPLETE,0.03632782576907832,,,,,
214,-1000.0,TrialState.COMPLETE,0.12576192754838272,,,,,
215,-1000.0,TrialState.COMPLETE,0.043009617661268984,,,,,
216,-1000.0,TrialState.COMPLETE,0.051998956668701427,,,,,
217,-1000.0,TrialState.COMPLETE,0.04760469243835671,,,,,
218,-1000.0,TrialState.COMPLETE,0.08078403050251544,,,,,
219,-1000.0,TrialState.COMPLETE,0.053821669879178836,,,,,
220,-1000.0,TrialState.COMPLETE,0.040366201970561934,,,,,
221,-1000.0,TrialState.COMPLETE,0.031158026360212997,,,,,
222,-1000.0,TrialState.COMPLETE,0.04483922336770915,,,,,
223,-1000.0,TrialState.COMPLETE,0.03675838099374966,,,,,
224,-1000.0,TrialState.COMPLETE,0.0493671805499762,,,,,
225,-1000.0,TrialState.COMPLETE,0.04154714031241658,,,,,
226,-1000.0,TrialState.COMPLETE,0.02714801147902382,,,,,
227,-1000.0,TrialState.COMPLETE,0.054748638716382254,,,,,
228,-1000.0,TrialState.COMPLETE,0.023242927085373104,,,,,
229,-1000.0,TrialState.COMPLETE,0.19700372688112816,,,,,
230,-1000.0,TrialState.COMPLETE,0.03443167023160255,,,,,
231,-1000.0,TrialState.COMPLETE,0.04540414134603528,,,,,
232,-1000.0,TrialState.COMPLETE,0.023413700143377906,,,,,
233,-1000.0,TrialState.COMPLETE,0.03088917278353545,,,,,
234,-1000.0,TrialState.COMPLETE,0.02705249279805083,,,,,
235,-1000.0,TrialState.COMPLETE,0.04904471879654421,,,,,
236,-1000.0,TrialState.COMPLETE,0.02108581206907089,,,,,
237,-1000.0,TrialState.COMPLETE,0.05847904925300058,,,,,
238,-1000.0,TrialState.COMPLETE,0.03917037127762667,,,,,
239,-1000.0,TrialState.COMPLETE,0.052933506469362505,,,,,
240,-1000.0,TrialState.COMPLETE,0.029541306820905607,,,,,
241,-1000.0,TrialState.COMPLETE,0.04387710741524819,,,,,
242,-1000.0,TrialState.COMPLETE,0.03445028134898073,,,,,
243,-1000.0,TrialState.COMPLETE,0.05056990073957934,,,,,
244,-1000.0,TrialState.COMPLETE,0.03941556990466113,,,,,
245,-1000.0,TrialState.COMPLETE,0.1367061245977796,,,,,
246,-1000.0,TrialState.COMPLETE,0.0481322886683994,,,,,
247,-1000.0,TrialState.COMPLETE,0.10550413482918622,,,,,
248,-1000.0,TrialState.COMPLETE,0.04235274375831499,,,,,
249,-1000.0,TrialState.COMPLETE,0.056182519673199156,,,,,
250,-1000.0,TrialState.COMPLETE,0.020445398360758895,,,,,
251,-1000.0,TrialState.COMPLETE,0.03594115709340756,,,,,
252,-1000.0,TrialState.COMPLETE,0.0691499522357047,,,,,
253,-1000.0,TrialState.COMPLETE,0.1615751394659445,,,,,
254,-1000.0,TrialState.COMPLETE,0.02629089009645385,,,,,
255,-1000.0,TrialState.COMPLETE,0.05191013119896851,,,,,
256,-1000.0,TrialState.COMPLETE,0.07549378831803079,,,,,
257,-1000.0,TrialState.COMPLETE,0.046323555728488716,,,,,
258,-1000.0,TrialState.COMPLETE,0.03277812781707651,,,,,
259,-1000.0,TrialState.COMPLETE,0.0389823873063421,,,,,
260,-1000.0,TrialState.COMPLETE,0.06108149883707884,,,,,
261,-1000.0,TrialState.COMPLETE,0.05601660093340328,,,,,
262,-1000.0,TrialState.COMPLETE,0.04559578410764492,,,,,
263,-1000.0,TrialState.COMPLETE,0.1923751478732714,,,,,
264,-1000.0,TrialState.COMPLETE,0.05232500075378171,,,,,
265,-1000.0,TrialState.COMPLETE,0.02855928381281054,,,,,
266,-1000.0,TrialState.COMPLETE,0.04897631057288771,,,,,
